"bundleID","starter","main_dish","salad_soup","side","dessert","ratings"
273,"Sticky Chicken Tenders","Grilled Sausages","Potato Salad","Mashed Potato","Smores",8.367
275,"Sticky Chicken Tenders","Grilled Sausages","Potato Salad","French Fry Basket","Smores",6.317
277,"Sticky Chicken Tenders","Grilled Sausages","Chili","Mac and Cheese","Smores",9.874265625
278,"Sticky Chicken Tenders","Grilled Sausages","Chili","Mac and Cheese","Apple Pie A La Mode",8.987
279,"Sticky Chicken Tenders","Grilled Sausages","Chili","Mashed Potato","Smores",8.947
280,"Sticky Chicken Tenders","Grilled Sausages","Chili","Mashed Potato","Apple Pie A La Mode",9.037
281,"Sticky Chicken Tenders","Grilled Sausages","Chili","French Fry Basket","Smores",9.108640625
282,"Sticky Chicken Tenders","Grilled Sausages","Chili","French Fry Basket","Apple Pie A La Mode",9.177546875
283,"Sticky Chicken Tenders","Grilled Sausages","Beef Stew","Mac and Cheese","Smores",7.317
284,"Sticky Chicken Tenders","Grilled Sausages","Beef Stew","Mac and Cheese","Apple Pie A La Mode",8.981642578125
285,"Sticky Chicken Tenders","Grilled Sausages","Beef Stew","Mashed Potato","Smores",9.367
287,"Sticky Chicken Tenders","Grilled Sausages","Beef Stew","French Fry Basket","Smores",9.027375
289,"Sticky Chicken Tenders","Smoked Turkey Legs","Winter Salad","Mac and Cheese","Smores",5.187
290,"Sticky Chicken Tenders","Smoked Turkey Legs","Winter Salad","Mac and Cheese","Apple Pie A La Mode",7.277
291,"Sticky Chicken Tenders","Smoked Turkey Legs","Winter Salad","Mashed Potato","Smores",8.957375
293,"Sticky Chicken Tenders","Smoked Turkey Legs","Winter Salad","French Fry Basket","Smores",7.187
295,"Sticky Chicken Tenders","Smoked Turkey Legs","Potato Salad","Mac and Cheese","Smores",8.791125
296,"Sticky Chicken Tenders","Smoked Turkey Legs","Potato Salad","Mac and Cheese","Apple Pie A La Mode",8.137
297,"Sticky Chicken Tenders","Smoked Turkey Legs","Potato Salad","Mashed Potato","Smores",9.097
299,"Sticky Chicken Tenders","Smoked Turkey Legs","Potato Salad","French Fry Basket","Smores",5.047
301,"Sticky Chicken Tenders","Smoked Turkey Legs","Chili","Mac and Cheese","Smores",7.627
302,"Sticky Chicken Tenders","Smoked Turkey Legs","Chili","Mac and Cheese","Apple Pie A La Mode",7.717
303,"Sticky Chicken Tenders","Smoked Turkey Legs","Chili","Mashed Potato","Smores",8.677
304,"Sticky Chicken Tenders","Smoked Turkey Legs","Chili","Mashed Potato","Apple Pie A La Mode",8.767
305,"Sticky Chicken Tenders","Smoked Turkey Legs","Chili","French Fry Basket","Smores",9.627
306,"Sticky Chicken Tenders","Smoked Turkey Legs","Chili","French Fry Basket","Apple Pie A La Mode",8.970828125
307,"Sticky Chicken Tenders","Smoked Turkey Legs","Beef Stew","Mac and Cheese","Smores",8.791125
308,"Sticky Chicken Tenders","Smoked Turkey Legs","Beef Stew","Mac and Cheese","Apple Pie A La Mode",8.137
309,"Sticky Chicken Tenders","Smoked Turkey Legs","Beef Stew","Mashed Potato","Smores",8.097
311,"Sticky Chicken Tenders","Smoked Turkey Legs","Beef Stew","French Fry Basket","Smores",9.047
313,"Sticky Chicken Tenders","Grilled Salmon","Winter Salad","Mac and Cheese","Smores",4.807
314,"Sticky Chicken Tenders","Grilled Salmon","Winter Salad","Mac and Cheese","Apple Pie A La Mode",6.897
315,"Sticky Chicken Tenders","Grilled Salmon","Winter Salad","Mashed Potato","Smores",7.857
317,"Sticky Chicken Tenders","Grilled Salmon","Winter Salad","French Fry Basket","Smores",7.807
319,"Sticky Chicken Tenders","Grilled Salmon","Potato Salad","Mac and Cheese","Smores",8.667
320,"Sticky Chicken Tenders","Grilled Salmon","Potato Salad","Mac and Cheese","Apple Pie A La Mode",6.757
321,"Sticky Chicken Tenders","Grilled Salmon","Potato Salad","Mashed Potato","Smores",7.717
323,"Sticky Chicken Tenders","Grilled Salmon","Potato Salad","French Fry Basket","Smores",8.667
325,"Sticky Chicken Tenders","Grilled Salmon","Chili","Mac and Cheese","Smores",9.247
326,"Sticky Chicken Tenders","Grilled Salmon","Chili","Mac and Cheese","Apple Pie A La Mode",9.044875
327,"Sticky Chicken Tenders","Grilled Salmon","Chili","Mashed Potato","Smores",9.297
328,"Sticky Chicken Tenders","Grilled Salmon","Chili","Mashed Potato","Apple Pie A La Mode",3.387
329,"Sticky Chicken Tenders","Grilled Salmon","Chili","French Fry Basket","Smores",9.376609375
330,"Sticky Chicken Tenders","Grilled Salmon","Chili","French Fry Basket","Apple Pie A La Mode",9.919875
331,"Sticky Chicken Tenders","Grilled Salmon","Beef Stew","Mac and Cheese","Smores",9.333625
332,"Sticky Chicken Tenders","Grilled Salmon","Beef Stew","Mac and Cheese","Apple Pie A La Mode",5.757
333,"Sticky Chicken Tenders","Grilled Salmon","Beef Stew","Mashed Potato","Smores",6.717
335,"Sticky Chicken Tenders","Grilled Salmon","Beef Stew","French Fry Basket","Smores",9.667
337,"Sticky Chicken Tenders","Grilled Portobello Mushrooms","Winter Salad","Mac and Cheese","Smores",8.477
338,"Sticky Chicken Tenders","Grilled Portobello Mushrooms","Winter Salad","Mac and Cheese","Apple Pie A La Mode",6.567
339,"Sticky Chicken Tenders","Grilled Portobello Mushrooms","Winter Salad","Mashed Potato","Smores",4.527
341,"Sticky Chicken Tenders","Grilled Portobello Mushrooms","Winter Salad","French Fry Basket","Smores",4.477
343,"Sticky Chicken Tenders","Grilled Portobello Mushrooms","Potato Salad","Mac and Cheese","Smores",5.337
344,"Sticky Chicken Tenders","Grilled Portobello Mushrooms","Potato Salad","Mac and Cheese","Apple Pie A La Mode",7.427
345,"Sticky Chicken Tenders","Grilled Portobello Mushrooms","Potato Salad","Mashed Potato","Smores",8.387
347,"Sticky Chicken Tenders","Grilled Portobello Mushrooms","Potato Salad","French Fry Basket","Smores",6.337
349,"Sticky Chicken Tenders","Grilled Portobello Mushrooms","Chili","Mac and Cheese","Smores",9.917
350,"Sticky Chicken Tenders","Grilled Portobello Mushrooms","Chili","Mac and Cheese","Apple Pie A La Mode",8.756125
351,"Sticky Chicken Tenders","Grilled Portobello Mushrooms","Chili","Mashed Potato","Smores",7.967
352,"Sticky Chicken Tenders","Grilled Portobello Mushrooms","Chili","Mashed Potato","Apple Pie A La Mode",8.057
353,"Sticky Chicken Tenders","Grilled Portobello Mushrooms","Chili","French Fry Basket","Smores",8.917
354,"Sticky Chicken Tenders","Grilled Portobello Mushrooms","Chili","French Fry Basket","Apple Pie A La Mode",8.756125
355,"Sticky Chicken Tenders","Grilled Portobello Mushrooms","Beef Stew","Mac and Cheese","Smores",9.044875
356,"Sticky Chicken Tenders","Grilled Portobello Mushrooms","Beef Stew","Mac and Cheese","Apple Pie A La Mode",9.427
357,"Sticky Chicken Tenders","Grilled Portobello Mushrooms","Beef Stew","Mashed Potato","Smores",5.387
359,"Sticky Chicken Tenders","Grilled Portobello Mushrooms","Beef Stew","French Fry Basket","Smores",8.337
385,"Jumbo Shrimp Cocktail","Grilled Sausages","Winter Salad","Mac and Cheese","Smores",6.887
386,"Jumbo Shrimp Cocktail","Grilled Sausages","Winter Salad","Mac and Cheese","Apple Pie A La Mode",5.977
387,"Jumbo Shrimp Cocktail","Grilled Sausages","Winter Salad","Mashed Potato","Smores",4.937
389,"Jumbo Shrimp Cocktail","Grilled Sausages","Winter Salad","French Fry Basket","Smores",6.887
391,"Jumbo Shrimp Cocktail","Grilled Sausages","Potato Salad","Mac and Cheese","Smores",8.993796875
392,"Jumbo Shrimp Cocktail","Grilled Sausages","Potato Salad","Mac and Cheese","Apple Pie A La Mode",7.837
393,"Jumbo Shrimp Cocktail","Grilled Sausages","Potato Salad","Mashed Potato","Smores",9.447375
395,"Jumbo Shrimp Cocktail","Grilled Sausages","Potato Salad","French Fry Basket","Smores",9.403625
397,"Jumbo Shrimp Cocktail","Grilled Sausages","Chili","Mac and Cheese","Smores",9.327
398,"Jumbo Shrimp Cocktail","Grilled Sausages","Chili","Mac and Cheese","Apple Pie A La Mode",9.417
399,"Jumbo Shrimp Cocktail","Grilled Sausages","Chili","Mashed Potato","Smores",9.377
400,"Jumbo Shrimp Cocktail","Grilled Sausages","Chili","Mashed Potato","Apple Pie A La Mode",9.158625
401,"Jumbo Shrimp Cocktail","Grilled Sausages","Chili","French Fry Basket","Smores",9.437859375
402,"Jumbo Shrimp Cocktail","Grilled Sausages","Chili","French Fry Basket","Apple Pie A La Mode",9.506765625
403,"Jumbo Shrimp Cocktail","Grilled Sausages","Beef Stew","Mac and Cheese","Smores",8.747
404,"Jumbo Shrimp Cocktail","Grilled Sausages","Beef Stew","Mac and Cheese","Apple Pie A La Mode",7.837
405,"Jumbo Shrimp Cocktail","Grilled Sausages","Beef Stew","Mashed Potato","Smores",9.797
407,"Jumbo Shrimp Cocktail","Grilled Sausages","Beef Stew","French Fry Basket","Smores",7.747
1,"Fried Chicken Tenders","BBQ Ribs","Winter Salad","Mac and Cheese","Smores",4.14
2,"Fried Chicken Tenders","BBQ Ribs","Winter Salad","Mac and Cheese","Apple Pie A La Mode",3.23
3,"Fried Chicken Tenders","BBQ Ribs","Winter Salad","Mashed Potato","Smores",7.19
4,"Fried Chicken Tenders","BBQ Ribs","Winter Salad","Mashed Potato","Apple Pie A La Mode",3.28
5,"Fried Chicken Tenders","BBQ Ribs","Winter Salad","French Fry Basket","Smores",5.14
6,"Fried Chicken Tenders","BBQ Ribs","Winter Salad","French Fry Basket","Apple Pie A La Mode",5.23
7,"Fried Chicken Tenders","BBQ Ribs","Potato Salad","Mac and Cheese","Smores",8
8,"Fried Chicken Tenders","BBQ Ribs","Potato Salad","Mac and Cheese","Apple Pie A La Mode",7.09
9,"Fried Chicken Tenders","BBQ Ribs","Potato Salad","Mashed Potato","Smores",6.05
10,"Fried Chicken Tenders","BBQ Ribs","Potato Salad","Mashed Potato","Apple Pie A La Mode",3.14
11,"Fried Chicken Tenders","BBQ Ribs","Potato Salad","French Fry Basket","Smores",6
12,"Fried Chicken Tenders","BBQ Ribs","Potato Salad","French Fry Basket","Apple Pie A La Mode",3.09
13,"Fried Chicken Tenders","BBQ Ribs","Chili","Mac and Cheese","Smores",5.58
14,"Fried Chicken Tenders","BBQ Ribs","Chili","Mac and Cheese","Apple Pie A La Mode",4.67
15,"Fried Chicken Tenders","BBQ Ribs","Chili","Mashed Potato","Smores",4.63
16,"Fried Chicken Tenders","BBQ Ribs","Chili","Mashed Potato","Apple Pie A La Mode",5.72
17,"Fried Chicken Tenders","BBQ Ribs","Chili","French Fry Basket","Smores",7.58
18,"Fried Chicken Tenders","BBQ Ribs","Chili","French Fry Basket","Apple Pie A La Mode",6.67
19,"Fried Chicken Tenders","BBQ Ribs","Beef Stew","Mac and Cheese","Smores",7
20,"Fried Chicken Tenders","BBQ Ribs","Beef Stew","Mac and Cheese","Apple Pie A La Mode",4.09
21,"Fried Chicken Tenders","BBQ Ribs","Beef Stew","Mashed Potato","Smores",4.05
22,"Fried Chicken Tenders","BBQ Ribs","Beef Stew","Mashed Potato","Apple Pie A La Mode",4.14
23,"Fried Chicken Tenders","BBQ Ribs","Beef Stew","French Fry Basket","Smores",7
24,"Fried Chicken Tenders","BBQ Ribs","Beef Stew","French Fry Basket","Apple Pie A La Mode",6.09
28,"Fried Chicken Tenders","Grilled Sausages","Winter Salad","Mashed Potato","Apple Pie A La Mode",5.55
30,"Fried Chicken Tenders","Grilled Sausages","Winter Salad","French Fry Basket","Apple Pie A La Mode",7.5
34,"Fried Chicken Tenders","Grilled Sausages","Potato Salad","Mashed Potato","Apple Pie A La Mode",6.41
36,"Fried Chicken Tenders","Grilled Sausages","Potato Salad","French Fry Basket","Apple Pie A La Mode",6.36
46,"Fried Chicken Tenders","Grilled Sausages","Beef Stew","Mashed Potato","Apple Pie A La Mode",6.41
48,"Fried Chicken Tenders","Grilled Sausages","Beef Stew","French Fry Basket","Apple Pie A La Mode",6.36
49,"Fried Chicken Tenders","Smoked Turkey Legs","Winter Salad","Mac and Cheese","Smores",7.14
50,"Fried Chicken Tenders","Smoked Turkey Legs","Winter Salad","Mac and Cheese","Apple Pie A La Mode",4.23
51,"Fried Chicken Tenders","Smoked Turkey Legs","Winter Salad","Mashed Potato","Smores",5.19
52,"Fried Chicken Tenders","Smoked Turkey Legs","Winter Salad","Mashed Potato","Apple Pie A La Mode",3.28
53,"Fried Chicken Tenders","Smoked Turkey Legs","Winter Salad","French Fry Basket","Smores",6.14
54,"Fried Chicken Tenders","Smoked Turkey Legs","Winter Salad","French Fry Basket","Apple Pie A La Mode",2.23
55,"Fried Chicken Tenders","Smoked Turkey Legs","Potato Salad","Mac and Cheese","Smores",6
56,"Fried Chicken Tenders","Smoked Turkey Legs","Potato Salad","Mac and Cheese","Apple Pie A La Mode",5.09
57,"Fried Chicken Tenders","Smoked Turkey Legs","Potato Salad","Mashed Potato","Smores",1.05
58,"Fried Chicken Tenders","Smoked Turkey Legs","Potato Salad","Mashed Potato","Apple Pie A La Mode",4.14
59,"Fried Chicken Tenders","Smoked Turkey Legs","Potato Salad","French Fry Basket","Smores",7
60,"Fried Chicken Tenders","Smoked Turkey Legs","Potato Salad","French Fry Basket","Apple Pie A La Mode",5.09
61,"Fried Chicken Tenders","Smoked Turkey Legs","Chili","Mac and Cheese","Smores",7.58
62,"Fried Chicken Tenders","Smoked Turkey Legs","Chili","Mac and Cheese","Apple Pie A La Mode",5.67
63,"Fried Chicken Tenders","Smoked Turkey Legs","Chili","Mashed Potato","Smores",6.63
64,"Fried Chicken Tenders","Smoked Turkey Legs","Chili","Mashed Potato","Apple Pie A La Mode",6.72
65,"Fried Chicken Tenders","Smoked Turkey Legs","Chili","French Fry Basket","Smores",9.2575
66,"Fried Chicken Tenders","Smoked Turkey Legs","Chili","French Fry Basket","Apple Pie A La Mode",8.67
67,"Fried Chicken Tenders","Smoked Turkey Legs","Beef Stew","Mac and Cheese","Smores",3
68,"Fried Chicken Tenders","Smoked Turkey Legs","Beef Stew","Mac and Cheese","Apple Pie A La Mode",5.09
69,"Fried Chicken Tenders","Smoked Turkey Legs","Beef Stew","Mashed Potato","Smores",4.05
70,"Fried Chicken Tenders","Smoked Turkey Legs","Beef Stew","Mashed Potato","Apple Pie A La Mode",5.14
71,"Fried Chicken Tenders","Smoked Turkey Legs","Beef Stew","French Fry Basket","Smores",7
72,"Fried Chicken Tenders","Smoked Turkey Legs","Beef Stew","French Fry Basket","Apple Pie A La Mode",2.09
73,"Fried Chicken Tenders","Grilled Salmon","Winter Salad","Mac and Cheese","Smores",3.76
74,"Fried Chicken Tenders","Grilled Salmon","Winter Salad","Mac and Cheese","Apple Pie A La Mode",1.225
75,"Fried Chicken Tenders","Grilled Salmon","Winter Salad","Mashed Potato","Smores",2.06
76,"Fried Chicken Tenders","Grilled Salmon","Winter Salad","Mashed Potato","Apple Pie A La Mode",2.9
77,"Fried Chicken Tenders","Grilled Salmon","Winter Salad","French Fry Basket","Smores",5.76
78,"Fried Chicken Tenders","Grilled Salmon","Winter Salad","French Fry Basket","Apple Pie A La Mode",1.975
79,"Fried Chicken Tenders","Grilled Salmon","Potato Salad","Mac and Cheese","Smores",6.62
80,"Fried Chicken Tenders","Grilled Salmon","Potato Salad","Mac and Cheese","Apple Pie A La Mode",4.71
81,"Fried Chicken Tenders","Grilled Salmon","Potato Salad","Mashed Potato","Smores",5.67
82,"Fried Chicken Tenders","Grilled Salmon","Potato Salad","Mashed Potato","Apple Pie A La Mode",3.76
83,"Fried Chicken Tenders","Grilled Salmon","Potato Salad","French Fry Basket","Smores",6.62
84,"Fried Chicken Tenders","Grilled Salmon","Potato Salad","French Fry Basket","Apple Pie A La Mode",3.71
85,"Fried Chicken Tenders","Grilled Salmon","Chili","Mac and Cheese","Smores",9.2
86,"Fried Chicken Tenders","Grilled Salmon","Chili","Mac and Cheese","Apple Pie A La Mode",6.29
87,"Fried Chicken Tenders","Grilled Salmon","Chili","Mashed Potato","Smores",4.25
88,"Fried Chicken Tenders","Grilled Salmon","Chili","Mashed Potato","Apple Pie A La Mode",6.34
89,"Fried Chicken Tenders","Grilled Salmon","Chili","French Fry Basket","Smores",7.2
90,"Fried Chicken Tenders","Grilled Salmon","Chili","French Fry Basket","Apple Pie A La Mode",5.29
91,"Fried Chicken Tenders","Grilled Salmon","Beef Stew","Mac and Cheese","Smores",4.62
92,"Fried Chicken Tenders","Grilled Salmon","Beef Stew","Mac and Cheese","Apple Pie A La Mode",1.835
93,"Fried Chicken Tenders","Grilled Salmon","Beef Stew","Mashed Potato","Smores",1.92
94,"Fried Chicken Tenders","Grilled Salmon","Beef Stew","Mashed Potato","Apple Pie A La Mode",2.76
95,"Fried Chicken Tenders","Grilled Salmon","Beef Stew","French Fry Basket","Smores",7.62
96,"Fried Chicken Tenders","Grilled Salmon","Beef Stew","French Fry Basket","Apple Pie A La Mode",5.71
97,"Fried Chicken Tenders","Grilled Portobello Mushrooms","Winter Salad","Mac and Cheese","Smores",1.43
98,"Fried Chicken Tenders","Grilled Portobello Mushrooms","Winter Salad","Mac and Cheese","Apple Pie A La Mode",4.52
99,"Fried Chicken Tenders","Grilled Portobello Mushrooms","Winter Salad","Mashed Potato","Smores",1.73
100,"Fried Chicken Tenders","Grilled Portobello Mushrooms","Winter Salad","Mashed Potato","Apple Pie A La Mode",2.57
101,"Fried Chicken Tenders","Grilled Portobello Mushrooms","Winter Salad","French Fry Basket","Smores",2.43
102,"Fried Chicken Tenders","Grilled Portobello Mushrooms","Winter Salad","French Fry Basket","Apple Pie A La Mode",1.645
103,"Fried Chicken Tenders","Grilled Portobello Mushrooms","Potato Salad","Mac and Cheese","Smores",4.29
104,"Fried Chicken Tenders","Grilled Portobello Mushrooms","Potato Salad","Mac and Cheese","Apple Pie A La Mode",3.38
105,"Fried Chicken Tenders","Grilled Portobello Mushrooms","Potato Salad","Mashed Potato","Smores",1.465
106,"Fried Chicken Tenders","Grilled Portobello Mushrooms","Potato Salad","Mashed Potato","Apple Pie A La Mode",1.43
107,"Fried Chicken Tenders","Grilled Portobello Mushrooms","Potato Salad","French Fry Basket","Smores",2.29
108,"Fried Chicken Tenders","Grilled Portobello Mushrooms","Potato Salad","French Fry Basket","Apple Pie A La Mode",6.38
109,"Fried Chicken Tenders","Grilled Portobello Mushrooms","Chili","Mac and Cheese","Smores",4.87
110,"Fried Chicken Tenders","Grilled Portobello Mushrooms","Chili","Mac and Cheese","Apple Pie A La Mode",2.96
111,"Fried Chicken Tenders","Grilled Portobello Mushrooms","Chili","Mashed Potato","Smores",8.92
112,"Fried Chicken Tenders","Grilled Portobello Mushrooms","Chili","Mashed Potato","Apple Pie A La Mode",3.01
113,"Fried Chicken Tenders","Grilled Portobello Mushrooms","Chili","French Fry Basket","Smores",9.87
114,"Fried Chicken Tenders","Grilled Portobello Mushrooms","Chili","French Fry Basket","Apple Pie A La Mode",5.96
115,"Fried Chicken Tenders","Grilled Portobello Mushrooms","Beef Stew","Mac and Cheese","Smores",1.415
116,"Fried Chicken Tenders","Grilled Portobello Mushrooms","Beef Stew","Mac and Cheese","Apple Pie A La Mode",2.38
117,"Fried Chicken Tenders","Grilled Portobello Mushrooms","Beef Stew","Mashed Potato","Smores",2.34
118,"Fried Chicken Tenders","Grilled Portobello Mushrooms","Beef Stew","Mashed Potato","Apple Pie A La Mode",4.43
119,"Fried Chicken Tenders","Grilled Portobello Mushrooms","Beef Stew","French Fry Basket","Smores",5.29
120,"Fried Chicken Tenders","Grilled Portobello Mushrooms","Beef Stew","French Fry Basket","Apple Pie A La Mode",5.38
121,"Crabcakes and Shrimp","BBQ Ribs","Winter Salad","Mac and Cheese","Smores",7.14
122,"Crabcakes and Shrimp","BBQ Ribs","Winter Salad","Mac and Cheese","Apple Pie A La Mode",1.23
123,"Crabcakes and Shrimp","BBQ Ribs","Winter Salad","Mashed Potato","Smores",6.19
124,"Crabcakes and Shrimp","BBQ Ribs","Winter Salad","Mashed Potato","Apple Pie A La Mode",6.28
125,"Crabcakes and Shrimp","BBQ Ribs","Winter Salad","French Fry Basket","Smores",7.14
126,"Crabcakes and Shrimp","BBQ Ribs","Winter Salad","French Fry Basket","Apple Pie A La Mode",2.23
127,"Crabcakes and Shrimp","BBQ Ribs","Potato Salad","Mac and Cheese","Smores",3
128,"Crabcakes and Shrimp","BBQ Ribs","Potato Salad","Mac and Cheese","Apple Pie A La Mode",5.09
129,"Crabcakes and Shrimp","BBQ Ribs","Potato Salad","Mashed Potato","Smores",7.05
130,"Crabcakes and Shrimp","BBQ Ribs","Potato Salad","Mashed Potato","Apple Pie A La Mode",6.14
131,"Crabcakes and Shrimp","BBQ Ribs","Potato Salad","French Fry Basket","Smores",9
132,"Crabcakes and Shrimp","BBQ Ribs","Potato Salad","French Fry Basket","Apple Pie A La Mode",4.09
133,"Crabcakes and Shrimp","BBQ Ribs","Chili","Mac and Cheese","Smores",9.2575
134,"Crabcakes and Shrimp","BBQ Ribs","Chili","Mac and Cheese","Apple Pie A La Mode",6.67
135,"Crabcakes and Shrimp","BBQ Ribs","Chili","Mashed Potato","Smores",5.63
136,"Crabcakes and Shrimp","BBQ Ribs","Chili","Mashed Potato","Apple Pie A La Mode",5.72
137,"Crabcakes and Shrimp","BBQ Ribs","Chili","French Fry Basket","Smores",8.58
138,"Crabcakes and Shrimp","BBQ Ribs","Chili","French Fry Basket","Apple Pie A La Mode",7.67
139,"Crabcakes and Shrimp","BBQ Ribs","Beef Stew","Mac and Cheese","Smores",4
140,"Crabcakes and Shrimp","BBQ Ribs","Beef Stew","Mac and Cheese","Apple Pie A La Mode",4.09
141,"Crabcakes and Shrimp","BBQ Ribs","Beef Stew","Mashed Potato","Smores",6.05
