"householdID","dietary_spec","dist_park","email_sub","est_inc","hhold_size","leisure_perc","oldest","passholder","previous_attend","social_media_scale","youngest"
82,"No Dairy",1.2,"Yes",75161.5873424657,5,0.26,87,0,3,0.41,42
83,"None",123.9,"No",95107.3312156172,2,0.03,56,0,2,0.31,11
84,"None",1.4,"No",71662.2152472307,2,0.06,67,0,1,0.89,3
85,"None",5.3,"No",103997.615295116,2,0.07,84,0,1,0.5,18
86,"None",7.8,"No",82337.3779436434,2,0.04,38,0,2,0.83,1
87,"None",14.7,"No",57817.0416958846,2,0.05,64,0,3,0.41,12
88,"None",15.2,"No",90783.3925471513,3,0.17,82,1,5,0.82,41
89,"Peanut Allergy",4.5,"Yes",84428.5227404786,4,0.24,57,1,5,0.76,16
90,"None",14.1,"No",66456.7910633085,2,0.08,86,0,1,0.43,2
91,"None",7,"Yes",68521.5975111786,3,0.21,69,1,0,0.27,23
92,"None",9.3,"No",30903.0529970155,1,0.11,92,0,3,0.42,92
93,"None",69.5,"Yes",27130.404152448,3,0.2,56,0,3,0.26,54
94,"None",25.6,"No",73019.7910111398,1,0.15,33,0,0,0.56,33
95,"None",17,"Yes",97511.7017980719,3,0.18,83,1,3,0.23,16
96,"Gluten-Free",12.3,"Yes",87388.0830568887,5,0.27,63,0,4,0.81,51
97,"No Dairy",12.5,"Yes",56803.2200579368,5,0.26,72,0,2,0.16,57
98,"None",12.8,"Yes",101513.815439346,3,0.2,71,0,2,0.92,48
99,"None",0.7,"No",48416.1796115468,1,0.14,35,0,1,0.92,35
100,"None",11.2,"No",87259.8345648366,1,0.12,66,0,1,0.16,66
101,"None",2.4,"Yes",71736.2868577486,3,0.21,29,0,1,0.21,2
102,"None",57.9,"No",56124.3485920525,2,0.08,86,0,3,0.18,19
103,"None",27.7,"No",83381.6975436253,1,0.14,55,0,6,0.2,55
104,"None",12.2,"No",84169.0171076725,2,0.08,29,1,5,0.17,24
105,"None",13.5,"Yes",50468.8017543465,3,0.21,84,1,5,0.94,2
106,"None",93.5,"No",67454.4649395318,1,0.11,39,0,3,0.3,39
107,"None",15.9,"No",61841.956873991,2,0.05,81,0,5,0.55,24
108,"None",0.4,"No",109225.699587073,1,0.11,67,1,3,0.66,67
109,"None",8.3,"No",64387.8235990019,1,0.15,65,0,4,0.39,65
110,"None",0,"No",60482.7944003211,2,0.09,52,0,3,0.26,3
111,"None",15.2,"No",118513.724663084,1,0.15,48,0,2,0.42,48
112,"None",34.3,"No",72876.7893356286,2,0.07,50,0,3,0.3,17
113,"None",5.4,"No",120181.99178125,2,0.03,82,0,2,0.73,28
114,"None",6.7,"No",89439.0856518173,1,0.13,45,1,3,0.7,45
115,"None",23.4,"Yes",39698.102624862,3,0.17,47,1,2,0.72,18
116,"Gluten-Free",30.3,"Yes",68531.740323192,5,0.27,40,1,2,0.58,35
117,"None",7.5,"Yes",63298.6109186733,3,0.21,93,0,2,0.35,6
118,"Vegetarian",151.3,"Yes",96341.0166276385,4,0.24,45,0,2,0.67,43
119,"None",8.9,"No",95620.7593454458,1,0.16,74,0,3,0.06,74
120,"None",15,"No",98569.8840332844,1,0.14,70,0,2,0.49,70
121,"None",23,"No",99043.2018956188,1,0.15,35,1,1,0.05,35
122,"None",8.6,"No",48229.1949589495,1,0.16,69,1,2,0.7,69
123,"None",25.3,"No",97354.1881996727,2,0.09,54,1,1,0.79,15
124,"None",16.7,"No",108125.056408615,2,0.04,44,0,4,0.15,0
125,"None",15.1,"No",101865.848111944,1,0.15,31,0,1,0.56,31
126,"None",11.7,"No",56510.4351362416,1,0.12,66,1,2,0.15,66
127,"None",100.2,"Yes",49866.8456834923,3,0.21,27,0,1,0.4,2
128,"None",9.8,"Yes",78669.3213210917,3,0.19,77,0,2,0.97,2
129,"Gluten-Free",89.5,"Yes",98936.7636777429,6,0.27,39,0,0,0.81,0
130,"None",34.9,"Yes",102394.429030184,3,0.2,81,0,1,0.93,33
131,"Vegetarian",8.1,"Yes",117611.079720432,5,0.25,44,0,0,0.57,2
132,"None",28.7,"No",64498.2738737053,1,0.11,73,0,3,0.55,73
133,"None",4.9,"No",108131.593977269,2,0.03,92,1,4,0.93,15
134,"None",7.5,"No",81067.3991089724,1,0.13,66,0,0,0.36,66
135,"None",60.2,"No",66987.4020705109,1,0.13,55,0,3,0.87,55
136,"None",10.6,"No",78106.6755022907,2,0.07,90,0,1,0.39,15
137,"None",3,"No",92856.0525547149,2,0.09,27,0,0,0.34,22
138,"No Dairy",14.4,"Yes",89841.2697715549,5,0.26,63,1,1,0.65,8
139,"Peanut Allergy",23,"Yes",51944.8688917397,4,0.23,59,1,2,0.05,53
140,"None",2,"No",68250.1389688018,2,0.08,47,1,2,0.95,10
141,"None",38,"Yes",90946.2527274144,4,0.22,76,0,3,0.97,38
142,"None",8.4,"No",57090.7415014511,1,0.16,68,1,4,0.42,68
143,"None",10,"No",79778.2233379066,2,0.04,28,0,0,0.11,5
144,"None",50.4,"No",65726.9170442552,2,0.09,53,0,3,0.49,12
145,"None",30.3,"No",75666.6799684034,1,0.1,77,0,4,0.61,77
146,"None",38,"No",100612.602909674,1,0.12,65,0,3,0.39,65
147,"None",34.8,"No",51224.4899279787,2,0.02,59,1,2,0.05,54
148,"None",7.8,"No",84450.6744731684,2,0.08,50,0,1,0.64,45
149,"None",7.7,"No",107690.07254251,2,0.03,67,0,2,0.97,6
150,"None",10.7,"No",63301.0183971118,1,0.15,66,1,2,0.44,66
151,"None",4.4,"No",63296.091449752,1,0.15,37,1,2,0.69,37
152,"None",11.8,"No",40754.4763206671,2,0.08,35,1,1,0.94,5
153,"None",11.8,"Yes",84200.5601253756,3,0.19,93,1,0,0.55,43
154,"None",11.6,"No",41260.9588277483,2,0.07,49,0,3,0.43,23
155,"None",80,"No",87899.5859359622,2,0.04,38,1,1,0.43,5
156,"None",12.9,"No",69793.6789239856,2,0.03,31,1,1,0.74,23
157,"None",25.7,"Yes",69332.7488039183,3,0.19,75,0,2,0.54,14
158,"None",40.1,"No",68034.3888965616,2,0.05,61,0,1,0.57,16
159,"None",25.8,"No",72094.090544287,1,0.16,80,0,2,0.39,80
160,"Peanut Allergy",38.6,"Yes",68960.3518620515,4,0.23,61,1,2,0.52,7
161,"None",43.7,"Yes",76822.2020723291,3,0.2,90,1,1,0.03,17
162,"None",2,"No",53987.6885216373,1,0.1,72,0,1,0.29,72
163,"None",0.3,"No",74198.1229925422,1,0.14,68,1,3,0.04,68
164,"None",16.7,"No",111767.012620006,2,0.09,40,0,0,0.41,35
165,"Peanut Allergy",7.7,"Yes",61364.5650614908,4,0.23,90,1,3,0.93,10
166,"None",53.6,"No",102652.630611945,1,0.1,78,1,3,0.81,78
167,"None",6.8,"No",86330.0989859168,1,0.12,35,0,3,0.52,35
168,"None",3.4,"No",44963.2515984629,2,0.04,91,0,3,0.24,20
169,"Vegetarian",3.8,"Yes",77468.1088876118,5,0.25,53,0,5,0.51,19
170,"None",7.2,"Yes",58301.2681204899,3,0.19,59,1,1,0.6,5
171,"None",25.8,"No",53043.7579179763,3,0.17,88,1,0,0.59,26
172,"None",26.2,"No",34712.961249221,2,0.09,64,0,0,0.21,39
173,"None",10.3,"No",63533.8812363693,2,0.06,83,1,3,0.64,14
174,"None",31.3,"No",48629.6541976597,2,0.08,46,1,3,0.02,40
175,"None",29,"Yes",116268.44983116,3,0.21,84,0,2,0.46,2
176,"None",18,"Yes",72991.0653062775,3,0.19,55,1,1,0.82,48
177,"None",19.7,"Yes",61797.5730535782,3,0.18,34,0,2,0.19,13
178,"None",12.7,"No",86350.014487389,1,0.16,60,1,0,0.34,60
179,"None",20.4,"No",14741.603795187,2,0.09,79,0,3,0.45,17
180,"None",48.8,"No",85026.8695805012,2,0.07,69,1,1,0.96,33
181,"None",11.3,"No",43909.7613057617,1,0.1,62,1,3,0.88,62
182,"None",0.8,"No",69361.1098671131,1,0.14,31,0,7,0.23,31
183,"None",9,"No",91140.5299408531,2,0.02,77,0,2,0.32,29
184,"None",16.9,"No",68269.0546164517,2,0.03,30,0,3,0.75,25
185,"None",0.5,"No",86888.4864668074,2,0.02,37,0,1,0.35,32
186,"Vegetarian",15.5,"Yes",76235.1321942758,4,0.25,72,1,3,0.3,3
187,"None",12.9,"No",58027.4574969696,1,0.12,86,0,1,0.33,86
188,"Gluten-Free",25.9,"Yes",36465.5540865713,6,0.27,74,1,1,0.24,58
189,"Peanut Allergy",5.1,"Yes",63961.2230815191,4,0.24,72,1,0,0.15,43
190,"None",1.5,"Yes",86597.0722152066,4,0.22,34,0,2,0.82,29
191,"None",8.1,"Yes",62160.7205864703,3,0.2,79,1,3,0.18,55
192,"None",16.4,"No",85998.9382019384,1,0.16,71,1,2,0.63,71
193,"None",5.4,"No",55224.0328537977,2,0.06,58,0,2,0.14,1
194,"None",23.2,"Yes",106460.359868186,3,0.19,62,0,1,0.48,36
195,"Vegetarian",28.3,"Yes",88387.663138502,4,0.25,34,1,2,0.76,9
196,"None",18.5,"No",76843.4033224569,1,0.11,93,0,4,0.9,93
197,"None",3.9,"No",82641.830632305,2,0.04,92,0,4,0.28,48
198,"None",6.2,"Yes",71110.4216201039,3,0.19,45,0,2,0.42,4
199,"None",2.1,"Yes",98896.9862183834,3,0.2,55,1,0,0.48,38
200,"None",25.8,"No",68713.1729623064,2,0.06,42,0,2,0.37,23
201,"None",47.1,"No",78124.4894215056,1,0.12,63,1,3,0.6,63
202,"None",1.6,"No",71763.1079611204,1,0.1,85,0,2,0.4,85
203,"None",42,"No",68215.2942725948,2,0.06,62,0,4,0.66,34
204,"None",56.5,"No",74935.284782763,1,0.12,32,0,0,0.99,32
205,"None",25,"Yes",54416.2052514677,3,0.18,82,0,2,0.9,45
206,"None",53.2,"No",101688.95537232,2,0.04,89,0,1,0.11,7
207,"None",1.4,"Yes",39023.8859937276,3,0.18,70,0,3,0.47,24
208,"None",35.9,"No",29703.3423157475,3,0.17,93,0,1,0.32,18
209,"None",0.3,"No",84661.5884070481,2,0.04,87,1,3,0.32,1
210,"None",17.6,"Yes",109921.012403347,3,0.19,39,1,2,0.81,34
211,"None",20.4,"No",102478.027530191,1,0.1,31,0,2,0.6,31
212,"Vegetarian",10.3,"Yes",82612.2620119612,4,0.25,39,0,5,0.38,34
213,"None",8.2,"No",47108.2575106097,2,0.08,74,1,2,0.52,7
214,"None",5.4,"No",74151.6110157417,2,0.04,33,0,5,0.54,7
215,"No Dairy",23.7,"Yes",78887.0239256677,5,0.26,59,1,1,0.28,5
216,"None",12.8,"No",88690.1186889486,2,0.08,45,0,2,0.92,32
217,"None",12.1,"No",84816.6733635522,2,0.09,54,0,1,0.88,1
218,"None",0.6,"No",69602.4656972459,3,0.17,87,1,1,0.42,20
219,"None",4.9,"No",63214.8406065374,2,0.07,83,0,1,0.99,36
220,"None",52,"No",65520.0101688407,2,0.05,32,0,4,0.6,5
221,"Gluten-Free",10.3,"Yes",60197.9965603857,6,0.27,33,1,4,0.53,9
222,"None",49.4,"No",99824.9506249594,1,0.15,62,1,0,0.4,62
223,"None",5.1,"No",73499.5744256027,1,0.12,66,0,2,0.35,66
224,"None",8.8,"No",83341.162700681,1,0.13,84,0,0,0.75,84
225,"Seafood Allergy",0.2,"Yes",60882.6559465531,7,0.28,56,1,3,0.89,26
226,"Gluten-Free",18.8,"Yes",109213.675197039,6,0.27,63,1,1,0.21,9
227,"None",27.3,"Yes",63625.1538408124,3,0.21,31,1,4,0.6,26
228,"None",2.4,"Yes",72826.0074369196,3,0.19,47,0,0,0.72,47
229,"None",7.3,"No",76758.1645524136,2,0.03,86,0,0,0.96,7
230,"No Dairy",32.8,"Yes",79748.4834227738,5,0.26,51,0,3,0.69,47
231,"None",9,"No",64822.520211887,1,0.1,45,1,2,0.34,45
232,"None",2.5,"Yes",88851.0020338539,3,0.18,46,0,2,0.23,41
233,"None",95.4,"No",83681.5260663012,2,0.08,94,1,2,0.14,27
234,"None",0.1,"No",94587.082649182,2,0.03,36,0,3,0.78,2
235,"Peanut Allergy",29.1,"Yes",76864.8004189754,4,0.23,57,1,4,0.79,14
236,"No Dairy",44.6,"Yes",80895.8931275186,5,0.26,38,0,0,0.62,11
237,"Peanut Allergy",0.3,"Yes",91229.7631099174,4,0.23,86,0,4,0.64,39
238,"None",94.1,"No",57398.4797223194,2,0.07,90,0,4,0.28,8
239,"Peanut Allergy",45.8,"Yes",84351.5378155811,4,0.24,41,0,1,0.7,37
240,"Peanut Allergy",41.8,"Yes",93126.0951014331,4,0.24,65,0,1,0.92,8
241,"Peanut Allergy",47.2,"Yes",108480.290743463,4,0.24,77,1,0,0.85,1
242,"None",5.3,"No",58609.2579663355,1,0.15,49,1,2,0.68,49
243,"None",69.5,"No",55800.221415414,2,0.04,55,0,3,0.89,23
244,"Seafood Allergy",22.7,"Yes",102117.765489129,7,0.28,29,0,3,0.52,24
245,"Peanut Allergy",25.6,"Yes",67412.8800173155,4,0.24,35,1,3,0.49,5
246,"No Dairy",15.4,"Yes",76290.9468440984,5,0.26,36,0,1,0.78,8
247,"No Dairy",28.2,"Yes",88403.3733840418,5,0.26,45,0,4,0.99,30
248,"None",12.2,"No",110175.391830318,1,0.13,86,0,0,0.72,86
249,"Vegetarian",20.4,"Yes",70189.9052922925,4,0.25,80,1,3,0.93,53
250,"No Dairy",10.2,"Yes",90844.9064729856,5,0.26,88,0,0,0.22,31
251,"None",32.7,"No",72944.1150468278,2,0.06,72,0,1,0.49,25
252,"No Dairy",12,"Yes",65629.7888715116,5,0.26,84,0,2,0.08,33
253,"None",19.9,"No",108109.153262681,2,0.04,78,1,3,0.86,57
254,"None",9.8,"No",96822.3492936895,2,0.07,56,1,3,0.42,44
255,"None",12.7,"No",95107.6119423633,1,0.15,54,0,1,0.04,54
256,"None",58.9,"No",109527.462663348,2,0.05,44,0,2,0.89,39
257,"Peanut Allergy",9.1,"Yes",81808.4214923147,4,0.24,37,0,1,0.05,26
258,"None",16.3,"No",65944.2787650302,1,0.13,76,0,3,0.79,76
259,"Vegetarian",6.7,"Yes",80918.5524251599,4,0.25,76,0,1,0.15,4
260,"None",59.6,"No",63562.8606487894,1,0.14,91,0,2,0.3,91
261,"Gluten-Free",0.5,"Yes",98076.2534563742,6,0.27,29,0,4,0.72,4
262,"None",9.1,"No",100950.594398408,2,0.09,80,0,2,0.09,2
263,"None",1.4,"No",78455.3933165645,2,0.09,81,1,0,0.95,7
264,"None",13.2,"No",64386.4853824289,2,0.08,83,0,0,0.51,6
265,"No Dairy",28.7,"Yes",133129.032909663,5,0.26,91,0,1,0.04,45
266,"None",6.3,"No",67488.6972917843,1,0.13,91,0,0,0.35,91
267,"None",4.9,"No",54235.8873835629,3,0.17,49,0,3,0.61,44
268,"None",63.6,"No",98888.617824048,2,0.06,77,0,3,0.22,43
269,"None",3.5,"No",55450.6025368459,2,0.1,80,0,2,0.33,11
270,"None",47.8,"No",92431.6050572001,3,0.17,89,1,1,0.32,46
271,"None",1.9,"No",91647.016401997,1,0.15,64,0,2,0.61,64
272,"None",13.4,"Yes",95295.5137017295,3,0.19,69,0,2,0.84,27
273,"None",15.2,"Yes",70276.2846671608,4,0.22,82,0,2,0.64,2
274,"None",3.3,"Yes",64181.5128675426,4,0.22,50,0,3,0.73,20
275,"None",56.8,"Yes",36706.3139273836,3,0.21,40,0,1,0.44,35
276,"None",17.7,"No",42573.1183375386,1,0.12,86,1,2,0.86,86
277,"None",64.7,"No",89168.0090146778,2,0.05,33,0,1,0.59,8
278,"None",13.4,"No",59189.8182810174,1,0.11,86,0,4,0.17,86
279,"None",36.8,"No",61818.9135582416,1,0.1,87,1,1,0.4,87
280,"None",6.9,"No",65667.8110825782,2,0.04,44,1,2,0.31,2
281,"None",4.6,"Yes",77380.6366367292,3,0.21,80,1,1,0.8,16
282,"No Dairy",25.8,"Yes",88253.4455527029,5,0.26,40,1,2,0.46,18
283,"None",17.5,"No",45674.2269872797,2,0.06,49,0,1,0.75,5
284,"None",14.6,"No",123735.230313765,2,0.07,71,0,1,0.36,52
285,"None",15.4,"No",77332.5716505072,1,0.16,30,1,2,0.76,30
286,"None",5,"No",63721.7456665764,1,0.16,90,1,2,0.19,90
287,"None",2.8,"No",80071.7775458861,2,0.09,32,1,2,0.4,6
288,"None",3.6,"No",111798.864540739,1,0.11,54,0,3,0.57,54
289,"None",33.2,"No",47564.2520897489,1,0.14,80,0,2,0.36,80
290,"None",0.8,"No",80541.7477070263,1,0.13,33,1,4,0.09,33
291,"Vegetarian",21.3,"Yes",117659.39000029,4,0.25,47,0,0,0.32,14
292,"None",41,"Yes",57953.8954107454,3,0.18,56,0,2,0.61,6
293,"None",19.4,"No",72700.3084534807,2,0.04,59,0,4,0.91,6
294,"None",2.1,"Yes",81814.3287796891,3,0.18,58,0,4,0.65,48
295,"None",84.7,"Yes",91932.658633124,3,0.18,66,0,3,0.53,28
296,"None",0,"No",83384.8718393657,2,0.02,42,0,5,0.44,37
297,"No Dairy",13.4,"Yes",84995.9907104993,5,0.26,39,1,1,0.32,15
298,"None",0.4,"No",47977.2151784071,2,0.06,51,1,2,0.42,3
299,"None",11,"No",40109.8070826768,2,0.08,68,0,2,0.61,9
300,"None",14.2,"No",65312.8949174078,2,0.03,66,0,3,0.73,15
301,"None",0.6,"No",47397.926920555,2,0.08,40,0,5,0.66,11
302,"None",13.9,"Yes",53015.6353816234,3,0.2,54,0,0,0.16,12
303,"None",26.8,"No",63324.0229976671,2,0.03,80,1,1,0.4,49
304,"None",0.4,"No",76665.6278547333,2,0.02,59,0,1,0.19,19
305,"None",17.6,"Yes",70551.077186902,3,0.18,61,0,3,0.31,28
306,"None",41.6,"No",105719.193089996,1,0.15,90,1,2,0.23,90
307,"None",12.7,"No",89532.6992500148,2,0.03,55,0,2,0.18,34
308,"None",50.5,"No",79426.9576366228,1,0.1,53,1,6,0.18,53
309,"None",7.7,"Yes",82160.4042190522,3,0.2,55,0,4,0.18,2
310,"None",4.7,"No",95341.7348865946,1,0.11,83,1,2,0.47,83
311,"None",4.7,"No",76881.3471957864,1,0.11,61,0,4,0.6,61
312,"No Dairy",15.9,"Yes",45626.9720336408,5,0.26,53,1,1,0.24,28
313,"None",6.7,"No",40647.680877908,1,0.11,48,0,2,0.25,48
314,"None",0.8,"No",82931.8920886458,1,0.11,39,0,3,0.82,39
315,"None",35.4,"No",95313.3392605281,1,0.1,81,0,0,0.21,81
316,"None",13,"No",102204.303919306,1,0.16,64,0,4,0.25,64
317,"None",21.6,"No",78228.7070154675,1,0.12,83,0,0,0.94,83
318,"None",25.2,"No",103187.466338289,1,0.13,64,0,4,0.21,64
319,"None",26.5,"No",75320.0621360596,1,0.11,83,0,1,0.46,83
320,"None",31.9,"Yes",68840.861053341,3,0.19,75,0,2,0.35,22
321,"None",17.3,"No",82446.1457422914,1,0.14,46,1,1,0.3,46
322,"None",3,"Yes",84162.8330722678,3,0.18,56,0,3,0.2,48
323,"None",65.2,"No",78347.6774014514,2,0.05,52,0,4,0.14,28
324,"None",2.7,"No",106647.959223345,2,0.06,34,0,1,0.64,29
325,"None",35.2,"No",67496.3383269464,1,0.13,53,1,1,0.06,53
326,"None",11.1,"No",85746.4498042267,2,0.02,41,0,1,0.38,32
327,"Gluten-Free",13.1,"Yes",81031.8782804294,6,0.27,27,0,0,0.11,1
328,"None",38.3,"No",26916.7497136452,2,0.04,33,0,4,0.66,28
329,"None",91.6,"No",102292.7107645,2,0.07,35,0,0,0.88,2
330,"None",17.1,"Yes",96822.9227532593,4,0.22,76,0,2,0.73,18
331,"Vegetarian",54.9,"Yes",102471.031893482,4,0.25,60,0,1,0.73,29
332,"None",21.2,"Yes",51459.3422781633,3,0.18,83,1,2,0.91,13
333,"None",20.2,"Yes",64626.9711060932,3,0.19,51,0,2,0.32,1
334,"None",46.5,"No",88226.6599751325,2,0.06,71,0,0,0.3,20
335,"None",13.9,"No",92871.693634976,2,0.03,30,0,2,0.35,25
336,"None",40.9,"No",55547.3248338377,2,0.06,72,0,2,0.37,43
337,"None",3.4,"No",96200.6963169991,1,0.15,44,0,7,0.44,44
338,"None",8.5,"No",91259.8250374136,2,0.06,65,0,2,0.92,1
339,"None",5.2,"No",71236.5875245417,2,0.06,58,1,4,0.19,49
340,"None",5.9,"No",75240.9508011592,2,0.09,54,1,2,0.76,54
341,"None",11.8,"No",57323.0861912993,2,0.05,35,0,5,0.05,2
342,"Peanut Allergy",3.6,"Yes",80342.4610878927,4,0.24,37,1,1,0.04,2
343,"None",1.9,"No",53794.7198580345,2,0.02,32,1,0,0.31,27
344,"None",9.7,"No",95627.2578641104,2,0.04,61,0,3,0.04,29
345,"None",24.4,"No",101985.333972915,2,0.08,34,0,5,0.36,26
346,"None",18.9,"Yes",57266.7657146006,4,0.22,34,1,5,0.19,2
347,"None",16.8,"No",68807.015356619,2,0.04,27,1,2,0.55,25
348,"None",5.2,"No",56470.0963170876,2,0.06,84,0,2,0.35,14
349,"Gluten-Free",71.6,"Yes",92977.9202051255,6,0.27,37,0,3,0.86,14
350,"None",16.6,"No",99005.2436987254,2,0.05,54,0,1,0.62,11
351,"None",61.5,"No",77565.3279156784,1,0.12,34,0,6,0.73,34
352,"None",56.2,"Yes",90667.1961489058,3,0.2,28,0,2,0.66,1
