"recipient","pic_seen","site_duration","spend","register"
286,"Ironman",22.3,17.3,1
287,"Captain America",10.2,23.72,0
288,"Spiderman",31.11,15.6,1
289,"Ironman",20.4,16.1,1
290,"Ironman",23.9,18,1
291,"Captain America",10.6,18.32,0
292,"Ironman",23.9,17.4,0
293,"Spiderman",27.21,13.4,0
294,"Captain America",11,12.72,1
295,"Captain America",11.4,15.22,0
296,"Spiderman",18.81,16.7,0
297,"Spiderman",29.71,11.6,0
298,"Ironman",22.9,16.8,0
299,"Captain America",9.7,19.22,1
300,"Ironman",23.9,16.8,0
301,"Spiderman",25.91,10.3,1
302,"Spiderman",20.31,11.4,0
303,"Captain America",10.7,16.62,0
304,"Spiderman",30.91,15.1,1
305,"Ironman",27,17.7,0
306,"Ironman",21.4,16.1,1
307,"Spiderman",20.71,17.1,1
308,"Captain America",10.8,18.12,0
309,"Spiderman",20.51,14.9,0
310,"Spiderman",23.71,14.3,0
311,"Spiderman",15.11,12.5,1
312,"Captain America",10,17.52,1
313,"Spiderman",19.51,13.3,0
314,"Ironman",21.2,16.2,1
315,"Captain America",10.6,15.72,1
316,"Ironman",23.8,17.1,0
317,"Ironman",24.2,16.8,0
318,"Spiderman",27.61,13.7,1
319,"Spiderman",23.81,16.6,1
320,"Spiderman",23.41,13.6,0
321,"Ironman",25,14.8,0
322,"Captain America",10.7,25.22,0
323,"Captain America",10.8,18.92,0
324,"Ironman",23.5,17.6,0
325,"Captain America",11.6,22.92,1
326,"Captain America",11.1,12.32,1
327,"Spiderman",30.51,15.3,1
328,"Captain America",11.1,17.32,0
329,"Captain America",11.6,21.12,0
330,"Spiderman",24.41,12.1,1
331,"Captain America",10.5,18.32,1
332,"Ironman",20.8,16,1
333,"Spiderman",19.81,11.7,0
334,"Captain America",11,20.72,1
335,"Spiderman",27.41,16.4,1
336,"Spiderman",23.21,9.9,0
337,"Spiderman",25.01,12.7,1
338,"Captain America",11.4,25.02,1
339,"Spiderman",19.71,17.2,1
340,"Spiderman",18.71,16.2,0
341,"Captain America",11.5,21.52,0
342,"Ironman",23,18.4,0
343,"Ironman",23.1,16.7,1
344,"Captain America",10.8,15.32,1
345,"Ironman",23.6,16.6,1
346,"Ironman",27.7,17.5,0
347,"Captain America",10.5,19.82,0
348,"Spiderman",20.61,17.3,1
349,"Captain America",11.6,24.12,0
350,"Captain America",10.2,14.72,1
351,"Spiderman",21.41,11.3,0
352,"Ironman",23,18.3,0
353,"Captain America",10.7,18.42,0
354,"Ironman",24.3,17.9,1
355,"Ironman",19.8,15.7,1
356,"Captain America",10.9,18.92,0
357,"Ironman",23.2,17.9,1
358,"Ironman",22,16.3,0
359,"Ironman",20.4,17,0
360,"Ironman",23.6,17.4,1
361,"Captain America",9.9,15.62,1
362,"Captain America",11.3,19.92,1
363,"Ironman",27.9,17.4,0
364,"Spiderman",25.21,14.1,0
365,"Ironman",25.7,15.6,0
366,"Ironman",24.1,16.5,1
367,"Spiderman",20.61,16.1,1
368,"Captain America",11,18.52,1
369,"Captain America",11.7,18.52,1
370,"Spiderman",19.01,11.5,0
371,"Captain America",10.9,17.82,0
372,"Captain America",10.2,19.52,0
373,"Ironman",25.7,16.4,0
374,"Spiderman",17.91,12.4,0
375,"Spiderman",29.41,16,0
376,"Spiderman",20.61,12.1,1
377,"Ironman",22.5,16.6,1
378,"Spiderman",26.21,15.5,1
379,"Spiderman",20.21,14.3,0
380,"Ironman",21.7,16.9,1
381,"Captain America",10,18.82,0
382,"Spiderman",26.71,12.8,0
383,"Captain America",12.1,13.52,0
384,"Ironman",20.1,17.2,1
385,"Ironman",24.7,16.3,1
386,"Spiderman",25.31,16.7,0
387,"Spiderman",23.51,16,0
388,"Captain America",11.4,16.62,0
389,"Ironman",24.4,16.9,0
390,"Captain America",10.3,18.82,1
391,"Ironman",22.1,17.3,0
392,"Ironman",23.6,17.8,0
393,"Captain America",11.6,18.32,0
394,"Ironman",24.4,15.9,0
395,"Ironman",25.3,17.4,1
396,"Captain America",11.8,16.32,0
397,"Spiderman",26.21,12.6,0
398,"Captain America",10.7,20.72,1
399,"Ironman",22.4,15.8,0
400,"Spiderman",25.81,11.1,0
401,"Spiderman",23.81,14.4,0
402,"Ironman",25,16.5,0
403,"Ironman",21.2,14.8,0
404,"Ironman",23.9,17.9,0
405,"Captain America",11.2,16.92,1
406,"Spiderman",30.31,15.6,0
407,"Ironman",22.5,16.1,0
408,"Spiderman",26.21,15.1,0
409,"Captain America",11,20.72,1
410,"Ironman",25.1,17.3,1
411,"Captain America",11.3,19.12,0
412,"Captain America",11.3,16.82,0
413,"Ironman",25.8,16,0
414,"Spiderman",22.01,17.3,0
415,"Captain America",11.7,15.42,0
416,"Captain America",10.3,15.92,0
417,"Spiderman",35.61,13,0
418,"Spiderman",26.01,14.7,0
419,"Ironman",21.8,15.9,1
420,"Spiderman",18.81,13,0
421,"Spiderman",24.31,16.6,0
422,"Spiderman",23.91,12,0
423,"Ironman",25.1,16.1,1
424,"Ironman",20.6,16.9,0
425,"Captain America",11.1,18.82,0
426,"Spiderman",22.11,14,1
427,"Spiderman",30.11,17.3,1
428,"Spiderman",30.31,9.9,0
429,"Spiderman",20.81,13.1,0
430,"Ironman",24.5,17.5,0
431,"Captain America",11.5,20.22,1
432,"Captain America",10.2,19.62,1
433,"Spiderman",21.31,17.1,0
434,"Ironman",26,16.7,1
435,"Captain America",10.5,20.92,0
436,"Captain America",10.3,20.52,1
437,"Captain America",11,16.82,1
438,"Ironman",23.6,17.3,1
439,"Ironman",23.4,15.9,0
440,"Captain America",11.4,14.62,0
441,"Captain America",11,14.52,1
442,"Ironman",25.3,15.8,1
443,"Ironman",24.7,17.3,0
444,"Ironman",25.8,16.4,1
445,"Ironman",23.9,18.8,0
446,"Spiderman",25.31,16,1
447,"Spiderman",19.31,12.9,1
448,"Ironman",23.1,17.9,1
449,"Ironman",26.1,15.6,1
450,"Captain America",12,20.42,0
451,"Captain America",11.4,16.12,1
452,"Captain America",9.9,17.92,0
453,"Captain America",10.8,20.02,1
454,"Ironman",24.9,16.1,1
455,"Spiderman",22.21,13,0
456,"Ironman",26.4,16.3,1
457,"Captain America",10.1,18.92,0
458,"Spiderman",26.21,11.5,0
459,"Ironman",25.1,15.5,1
460,"Captain America",11.2,22.02,1
461,"Ironman",20.7,17.3,1
462,"Spiderman",17.11,18.4,1
463,"Captain America",11.1,14.92,1
464,"Captain America",11.5,20.42,0
465,"Captain America",11.8,18.22,0
466,"Spiderman",19.31,13.8,1
467,"Spiderman",16.11,17.2,0
468,"Spiderman",25.61,15.7,1
469,"Spiderman",23.51,11.7,0
470,"Ironman",18.4,17.6,0
471,"Ironman",23.4,16.8,1
472,"Ironman",24,16.5,1
473,"Ironman",21.2,16,0
474,"Captain America",10.7,21.62,0
475,"Ironman",20.4,16.4,1
476,"Captain America",11.3,19.22,0
477,"Spiderman",22.51,11.3,1
478,"Ironman",26,17.6,1
479,"Ironman",18.4,16.9,1
480,"Ironman",22,15.6,1
481,"Captain America",10.6,20.72,0
482,"Spiderman",28.71,17.5,0
483,"Captain America",10.9,19.02,0
484,"Captain America",10.1,18.02,1
485,"Spiderman",22.41,11,1
486,"Captain America",11.2,21.92,0
487,"Spiderman",21.11,12.9,0
488,"Ironman",30.7,16.6,0
489,"Ironman",24,18.3,1
490,"Ironman",21.5,15.7,0
491,"Ironman",25.1,16.3,0
492,"Ironman",24,15.5,0
493,"Spiderman",13.91,15.4,0
494,"Captain America",10.8,20.32,0
495,"Ironman",24.1,15.4,1
496,"Spiderman",27.91,14.3,0
497,"Ironman",20.1,14.9,1
498,"Spiderman",26.61,11.6,0
499,"Ironman",20.1,17.8,1
500,"Ironman",26,17.2,1
501,"Captain America",10.9,21.42,0
502,"Ironman",22.8,17.2,1
503,"Captain America",11.3,20.92,0
504,"Spiderman",24.61,13.9,0
505,"Spiderman",19.21,11.5,1
506,"Captain America",11.5,15.12,0
507,"Spiderman",19.71,14.5,0
508,"Ironman",24.4,16.8,1
509,"Ironman",22.4,17.1,0
510,"Spiderman",28.91,11.9,0
511,"Spiderman",25.11,19.1,1
512,"Spiderman",19.91,16.7,1
513,"Spiderman",27.81,14.1,1
514,"Captain America",11.5,16.62,0
515,"Captain America",11,14.82,0
516,"Spiderman",24.81,13.6,0
517,"Spiderman",22.01,13.3,0
518,"Captain America",11,18.92,1
519,"Captain America",11.4,15.82,1
520,"Ironman",20.5,16.8,1
521,"Spiderman",27.21,13.9,0
522,"Ironman",26.4,16.7,1
523,"Ironman",22.7,16,1
524,"Captain America",11.4,18.72,0
525,"Ironman",22.2,17.7,0
526,"Spiderman",24.61,14.1,1
527,"Captain America",10.9,21.42,0
528,"Spiderman",34.31,14.1,0
529,"Captain America",11.1,16.52,0
530,"Ironman",24,17.4,0
531,"Captain America",11.8,17.32,0
532,"Ironman",20.9,17.5,1
533,"Spiderman",23.91,11.1,0
534,"Spiderman",26.21,12.7,1
535,"Ironman",21.2,17.2,0
536,"Captain America",11.4,17.32,1
537,"Ironman",19.7,17.4,0
538,"Ironman",26.8,16.7,1
539,"Spiderman",21.71,17.4,0
540,"Captain America",10.5,19.42,0
541,"Captain America",9.7,12.82,0
542,"Ironman",25.7,17.8,0
543,"Captain America",10.6,17.62,0
544,"Ironman",25.2,17.5,1
545,"Captain America",11.9,18.02,0
546,"Captain America",10.2,19.82,1
547,"Spiderman",25.71,14.6,1
548,"Ironman",26.1,18.4,0
549,"Ironman",27.5,17.6,0
550,"Ironman",24.1,17.2,0
551,"Ironman",23.2,16,1
552,"Captain America",10.8,13.52,1
553,"Ironman",23.1,16,1
554,"Spiderman",25.11,13.7,0
555,"Captain America",10.7,21.02,1
556,"Captain America",10.4,18.12,0
557,"Ironman",24.5,16.6,1
558,"Captain America",12.3,22.52,0
559,"Spiderman",23.11,15.5,0
560,"Spiderman",22.01,10.5,1
561,"Ironman",24.8,16.4,1
562,"Captain America",10.4,20.62,0
563,"Spiderman",19.91,17.3,0
564,"Captain America",10.6,19.22,0
565,"Captain America",11,16.52,0
566,"Ironman",21.2,16.2,0
567,"Spiderman",20.81,17.5,1
568,"Captain America",10.8,20.72,1
569,"Ironman",24.7,17,1
570,"Captain America",11.4,15.22,1
571,"Ironman",22.8,16.9,0
572,"Spiderman",31.91,11.9,0
573,"Ironman",23.5,17.2,0
574,"Spiderman",23.81,15.7,0
575,"Captain America",10.7,14.42,1
576,"Captain America",11.1,15.72,1
577,"Ironman",23.7,16.8,1
578,"Captain America",11.3,23.32,0
579,"Captain America",10.6,18.92,1
580,"Ironman",24.1,17.9,0
581,"Ironman",24.1,16,0
582,"Spiderman",21.71,14.5,0
583,"Spiderman",24.61,14.3,1
584,"Captain America",11.5,21.32,0
585,"Captain America",9.9,20.32,0
586,"Ironman",19.4,15.7,1
587,"Spiderman",25.01,15.9,0
588,"Ironman",23.4,16,0
589,"Captain America",11.1,20.32,1
590,"Ironman",24.4,17.1,0
591,"Captain America",10.9,18.92,0
592,"Ironman",21.5,17.9,1
593,"Spiderman",21.91,11,1
594,"Spiderman",31.61,16.6,0
595,"Spiderman",25.71,16.6,0
596,"Captain America",11.5,18.72,1
597,"Ironman",23.1,16,0
598,"Ironman",23.1,16.2,1
599,"Spiderman",18.61,17.5,1
600,"Ironman",22.3,16.9,1
601,"Ironman",22.3,15.6,0
602,"Captain America",11.3,21.22,1
603,"Spiderman",29.41,8.9,0
604,"Ironman",22.8,15.9,0
605,"Ironman",23.4,16.7,0
606,"Spiderman",18.91,14.2,0
607,"Captain America",11.6,18.12,0
608,"Captain America",11.2,17.72,0
609,"Ironman",23.4,19.2,1
610,"Spiderman",25.71,17.9,0
611,"Ironman",20,16.4,0
612,"Ironman",20.8,18.7,1
613,"Ironman",24.2,17.8,1
614,"Ironman",20.3,18.2,1
615,"Captain America",10.8,20.12,0
616,"Captain America",10.3,21.62,0
617,"Ironman",23.7,17.8,0
618,"Captain America",10.5,20.72,1
619,"Ironman",26.9,17.5,1
620,"Ironman",24.3,16.2,0
621,"Ironman",25.5,17.7,0
622,"Spiderman",30.31,16,1
623,"Ironman",21.8,15.9,1
624,"Ironman",23.3,16.8,0
625,"Ironman",20.3,17.1,0
626,"Ironman",21.8,15.8,1
627,"Captain America",10.9,18.22,0
628,"Spiderman",23.81,13.8,0
629,"Ironman",21.6,18.2,0
630,"Captain America",11.8,17.12,0
631,"Captain America",10.2,18.22,0
632,"Ironman",27.2,17.1,1
633,"Ironman",18.2,16.9,0
634,"Ironman",23.7,17.6,1
635,"Spiderman",30.41,14.2,1
636,"Spiderman",25.71,14.1,0
637,"Ironman",24.1,17.8,1
638,"Spiderman",25.11,15.7,0
639,"Captain America",11.7,20.32,0
640,"Spiderman",20.11,14.1,0
641,"Captain America",11,18.72,1
642,"Ironman",21,18,0
643,"Spiderman",23.21,9.9,1
644,"Captain America",10.5,20.42,1
645,"Ironman",25.1,16.6,0
646,"Ironman",27.4,17,1
647,"Ironman",20.5,17.8,1
648,"Ironman",21.4,16.6,0
649,"Spiderman",25.31,16.8,1
650,"Captain America",10.8,19.32,0
651,"Ironman",24.2,18,1
652,"Captain America",10.8,18.82,0
653,"Spiderman",27.11,17,0
654,"Ironman",23.3,17.2,0
655,"Captain America",10.3,15.32,1
656,"Spiderman",26.71,16.2,0
657,"Ironman",22.1,16.9,0
658,"Captain America",10,17.82,0
659,"Captain America",10.6,19.42,0
660,"Ironman",16.7,16.8,1
661,"Spiderman",24.41,13,0
662,"Spiderman",24.21,12.8,0
663,"Spiderman",20.51,13.4,0
664,"Captain America",11.6,16.82,0
665,"Captain America",11.6,15.82,0
666,"Ironman",23.8,16.6,0
667,"Captain America",11.1,22.02,1
668,"Captain America",10,17.22,0
669,"Ironman",25.5,15.2,1
670,"Ironman",21.7,17.1,0
671,"Captain America",10.9,18.22,1
672,"Ironman",23.1,17.3,0
673,"Spiderman",19.61,12.3,0
674,"Ironman",19.6,16.5,1
675,"Spiderman",23.71,11.5,1
676,"Spiderman",26.31,12.5,0
677,"Spiderman",20.61,13,0
678,"Captain America",10.8,22.32,0
679,"Spiderman",26.21,15.1,0
680,"Captain America",11,15.42,0
681,"Ironman",22.8,16.5,1
682,"Spiderman",19.21,11.1,1
683,"Ironman",25.4,16.4,0
684,"Spiderman",28.61,16.1,0
685,"Captain America",10.8,18.32,0
686,"Spiderman",25.51,16.9,0
687,"Spiderman",23.91,13.5,1
688,"Captain America",10.5,21.12,0
689,"Captain America",11.3,18.42,1
690,"Ironman",22.8,15.9,1
691,"Captain America",10.9,20.32,0
692,"Ironman",22.1,16.3,1
693,"Captain America",11.2,17.22,0
694,"Spiderman",21.11,18.4,1
695,"Ironman",26.8,17.8,1
696,"Captain America",10.8,16.82,1
697,"Spiderman",19.11,12.9,0
698,"Spiderman",23.11,16.2,0
699,"Spiderman",27.41,15,0
700,"Captain America",10.8,16.72,0
701,"Spiderman",23.91,14.1,1
702,"Captain America",11.4,17.52,1
703,"Ironman",24.4,17.3,1
704,"Ironman",22.9,14.3,0
705,"Captain America",12.1,19.42,0
706,"Spiderman",19.91,14,0
707,"Spiderman",27.11,15.5,1
708,"Ironman",21.8,14.6,0
709,"Ironman",21.7,15.8,1
710,"Ironman",23.2,17.8,0
711,"Spiderman",29.71,16.2,0
712,"Ironman",21.8,16.4,1
713,"Captain America",10.4,15.22,1
714,"Ironman",26.1,17.1,1
715,"Spiderman",29.51,14.6,0
716,"Ironman",25,16.5,1
717,"Spiderman",16.31,14.4,1
718,"Spiderman",18.61,15.5,1
719,"Ironman",23.1,16.3,0
720,"Ironman",22.3,16.6,0
721,"Spiderman",32.91,13.7,1
722,"Spiderman",17.71,14,0
723,"Ironman",24.8,17.5,0
724,"Captain America",11,17.82,0
725,"Ironman",21.6,16.8,0
726,"Spiderman",24.31,12.8,1
727,"Captain America",10.8,13.42,0
728,"Ironman",23.8,17.6,0
729,"Captain America",11,21.82,0
730,"Spiderman",30.31,15.5,0
731,"Captain America",10.2,15.92,0
732,"Captain America",11,17.22,0
733,"Ironman",24.4,18.4,0
734,"Captain America",11.8,27.12,1
735,"Captain America",11,21.92,0
736,"Spiderman",25.81,13.8,0
737,"Captain America",10.7,18.02,0
738,"Spiderman",26.21,16,0
739,"Ironman",16.8,18,1
740,"Spiderman",22.21,17.5,0
741,"Spiderman",26.21,14.3,1
742,"Captain America",11.2,17.62,1
743,"Ironman",22.7,18.1,0
744,"Captain America",11,20.32,0
745,"Spiderman",19.61,17.3,1
746,"Captain America",12.2,20.42,1
747,"Spiderman",22.21,16.5,0
748,"Captain America",10.8,16.82,1
749,"Captain America",11,18.52,0
750,"Captain America",10.6,18.62,1
751,"Spiderman",18.11,13.8,1
752,"Ironman",19.1,16.4,0
753,"Spiderman",21.71,14.8,0
754,"Captain America",11.1,22.82,0
755,"Spiderman",24.61,12.6,1
756,"Ironman",23.6,17.3,0
757,"Captain America",11.5,17.72,0
758,"Spiderman",32.31,12.8,0
759,"Spiderman",24.61,11.7,0
760,"Captain America",10.1,18.32,1
761,"Captain America",10.9,20.02,0
762,"Ironman",23.4,17.4,0
763,"Captain America",11.2,18.92,1
764,"Ironman",21.8,17.5,1
765,"Captain America",11.1,14.42,1
766,"Ironman",20.5,15.6,1
767,"Spiderman",27.81,12.4,1
768,"Ironman",22.5,18,1
769,"Spiderman",29.51,14.9,1
770,"Captain America",10.9,18.02,0
771,"Spiderman",17.61,13.7,1
772,"Spiderman",24.01,12,1
773,"Captain America",11.7,22.72,0
